Categoria: Todas as categorias

Semana,ovo de pascoa: (Brasil)
2019-06-16,<1
2019-06-23,<1
2019-06-30,<1
2019-07-07,<1
2019-07-14,<1
2019-07-21,<1
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,<1
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,2
2020-02-16,3
2020-02-23,6
2020-03-01,11
2020-03-08,13
2020-03-15,12
2020-03-22,12
2020-03-29,34
2020-04-05,92
2020-04-12,22
2020-04-19,3
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,<1
2020-05-24,<1
2020-05-31,<1
2020-06-07,<1
2020-06-14,<1
2020-06-21,<1
2020-06-28,<1
2020-07-05,<1
2020-07-12,<1
2020-07-19,<1
2020-07-26,<1
2020-08-02,<1
2020-08-09,<1
2020-08-16,<1
2020-08-23,<1
2020-08-30,<1
2020-09-06,<1
2020-09-13,<1
2020-09-20,<1
2020-09-27,<1
2020-10-04,<1
2020-10-11,<1
2020-10-18,<1
2020-10-25,<1
2020-11-01,<1
2020-11-08,<1
2020-11-15,<1
2020-11-22,<1
2020-11-29,<1
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,<1
2021-01-03,1
2021-01-10,1
2021-01-17,2
2021-01-24,2
2021-01-31,2
2021-02-07,3
2021-02-14,6
2021-02-21,8
2021-02-28,15
2021-03-07,21
2021-03-14,30
2021-03-21,44
2021-03-28,88
2021-04-04,19
2021-04-11,2
2021-04-18,1
2021-04-25,1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,<1
2021-06-13,<1
2021-06-20,<1
2021-06-27,<1
2021-07-04,<1
2021-07-11,<1
2021-07-18,<1
2021-07-25,<1
2021-08-01,<1
2021-08-08,<1
2021-08-15,<1
2021-08-22,<1
2021-08-29,<1
2021-09-05,<1
2021-09-12,<1
2021-09-19,<1
2021-09-26,<1
2021-10-03,<1
2021-10-10,<1
2021-10-17,<1
2021-10-24,<1
2021-10-31,<1
2021-11-07,<1
2021-11-14,<1
2021-11-21,<1
2021-11-28,<1
2021-12-05,<1
2021-12-12,<1
2021-12-19,<1
2021-12-26,<1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,4
2022-02-27,6
2022-03-06,8
2022-03-13,13
2022-03-20,20
2022-03-27,24
2022-04-03,38
2022-04-10,82
2022-04-17,17
2022-04-24,2
2022-05-01,1
2022-05-08,1
2022-05-15,<1
2022-05-22,<1
2022-05-29,<1
2022-06-05,<1
2022-06-12,<1
2022-06-19,<1
2022-06-26,<1
2022-07-03,<1
2022-07-10,<1
2022-07-17,<1
2022-07-24,<1
2022-07-31,<1
2022-08-07,<1
2022-08-14,<1
2022-08-21,<1
2022-08-28,<1
2022-09-04,<1
2022-09-11,<1
2022-09-18,<1
2022-09-25,<1
2022-10-02,<1
2022-10-09,<1
2022-10-16,<1
2022-10-23,<1
2022-10-30,<1
2022-11-06,<1
2022-11-13,<1
2022-11-20,<1
2022-11-27,<1
2022-12-04,<1
2022-12-11,<1
2022-12-18,<1
2022-12-25,<1
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,2
2023-02-12,3
2023-02-19,6
2023-02-26,12
2023-03-05,20
2023-03-12,27
2023-03-19,32
2023-03-26,46
2023-04-02,100
2023-04-09,21
2023-04-16,3
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,<1
2023-05-21,<1
2023-05-28,<1
2023-06-04,<1
2023-06-11,<1
2023-06-18,<1
2023-06-25,<1
2023-07-02,<1
2023-07-09,<1
2023-07-16,<1
2023-07-23,<1
2023-07-30,<1
2023-08-06,<1
2023-08-13,<1
2023-08-20,<1
2023-08-27,<1
2023-09-03,<1
2023-09-10,<1
2023-09-17,<1
2023-09-24,<1
2023-10-01,<1
2023-10-08,<1
2023-10-15,<1
2023-10-22,<1
2023-10-29,<1
2023-11-05,<1
2023-11-12,<1
2023-11-19,<1
2023-11-26,<1
2023-12-03,<1
2023-12-10,<1
2023-12-17,<1
2023-12-24,<1
2023-12-31,1
2024-01-07,1
2024-01-14,1
2024-01-21,2
2024-01-28,2
2024-02-04,4
2024-02-11,10
2024-02-18,14
2024-02-25,18
2024-03-03,24
2024-03-10,29
2024-03-17,45
2024-03-24,91
2024-03-31,21
2024-04-07,3
2024-04-14,1
2024-04-21,1
2024-04-28,1
2024-05-05,<1
2024-05-12,<1
2024-05-19,<1
2024-05-26,<1
2024-06-02,<1
2024-06-09,<1
2024-06-16,<1
